Word	Phonetic
ancestor	/ˈænˌsɛstɝ/
predator	/ˈpɹɛdətɝ/
fuel	/ˈfjuəɫ/, /ˈfjuɫ/
ideal	/aɪˈdiɫ/
argue	/ˈɑɹɡju/
origin	/ˈɔɹədʒən/
quality	/ˈkwɑɫəti/
entire	/ɪnˈtaɪɝ/
standard	/ˈstændɝd/
reserve	/ɹiˈzɝv/, /ɹɪˈzɝv/
capital	/ˈkæpətəɫ/, /ˈkæpɪtəɫ/
draw	/ˈdɹɔ/
perform	/pɝˈfɔɹm/
reduce	/ɹəˈdus/, /ɹiˈdus/, /ɹɪˈdus/
enable	/ɛˈneɪbəɫ/, /ɪˈneɪbəɫ/
definition	/ˌdɛfəˈnɪʃən/
contribute	/kənˈtɹɪbjut/
device	/dɪˈvaɪs/
extent	/ɪkˈstɛnt/
indeed	/ˌɪnˈdid/
float	/ˈfɫoʊt/
polar	/ˈpoʊɫɝ/
timber	/ˈtɪmbɝ/
appropriate	/əˈpɹoʊpɹiˌeɪt/, /əˈpɹoʊpɹiət/
degree	/dɪˈɡɹi/
arrange	/ɝˈeɪndʒ/
feed	/ˈfid/
similar	/ˈsɪməɫɝ/
neighbouring	/ˈneɪbɝɪŋ/
capacity	/kəˈpæsəti/, /kəˈpæsɪti/
attend	/əˈtɛnd/
throughout	/θɹuˈaʊt/
overcome	/ˈoʊvɝˌkəm/
extreme	/ɛkˈstɹim/
surface	/ˈsɝfəs/
tend	/ˈtɛnd/
latest	/ˈɫeɪtəst/
possibility	/ˌpɑsəˈbɪɫəˌti/
definitely	/ˈdɛfənətɫi/
store	/ˈstɔɹ/
apart	/əˈpɑɹt/
creative	/kɹiˈeɪtɪv/
predict	/pɹiˈdɪkt/, /pɹɪˈdɪkt/
hire	/ˈhaɪɝ/, /ˈhaɪɹ/
annual	/ˈænjuəɫ/
flow	/ˈfɫoʊ/
region	/ˈɹidʒən/
attract	/əˈtɹækt/
manufacture	/ˌmænjəˈfæktʃɝ/
maximum	/ˈmæksəməm/
establish	/ɪˈstæbɫɪʃ/
intensive	/ˌɪnˈtɛnsɪv/
content	/ˈkɑntɛnt/, /kənˈtɛnt/
recommend	/ˌɹɛkəˈmɛnd/
gain	/ˈɡeɪn/
diversity	/daɪˈvɝsɪti/, /dɪˈvɝsɪti/
layer	/ˈɫeɪɝ/
initial	/ˌɪˈnɪʃəɫ/
critical	/ˈkɹɪtɪkəɫ/
closely	/ˈkɫoʊsɫi/
beside	/ˌbiˈsaɪd/, /bɪˈsaɪd/
artificial	/ˌɑɹtəˈfɪʃəɫ/
civilisation	/ˌsɪv.ɪ.laɪˈzeɪ.ʃən/
marine	/mɝˈin/
equal	/ˈikwəɫ/
fundamental	/ˌfəndəˈmɛnəɫ/, /ˌfəndəˈmɛntəɫ/
concentrate	/ˈkɑnsənˌtɹeɪt/
conclusion	/kənˈkɫuʒən/
insight	/ˈɪnˌsaɪt/
operate	/ˈɑpɝˌeɪt/, /ˈɔpɝˌeɪt/
monument	/ˈmɑnjəmənt/, /ˈmɑnjumənt/
wisdom	/ˈwɪzdəm/
worth	/ˈwɝθ/
confidence	/ˈkɑnfədəns/
require	/ˌɹiˈkwaɪɝ/, /ɹiˈkwaɪɹ/, /ɹɪˈkwaɪɝ/
analyse	
constant	/ˈkɑnstənt/
phase	/ˈfeɪz/
cope with	
considerable	/kənˈsɪdɝəbəɫ/
instruction	/ˌɪnˈstɹəkʃən/
majority	/məˈdʒɔɹəti/
scale	/ˈskeɪɫ/
domestic	/dəˈmɛstɪk/
height	/ˈhaɪt/
corridor	/ˈkɔɹədɝ/, /ˈkɔɹɪdɝ/
investigation	/ˌɪnˌvɛstəˈɡeɪʃən/
demonstrate	/ˈdɛmənˌstɹeɪt/
approximately	/əˈpɹɑksəmətɫi/
identity	/aɪˈdɛntɪˌti/
adapt	/əˈdæpt/
complicated	/ˈkɑmpɫəˌkeɪtəd/
notion	/ˈnoʊʃən/
structure	/ˈstɹəktʃɝ/
significant	/səɡˈnɪfɪkənt/, /sɪɡˈnɪfɪkənt/
fee	/ˈfi/
separate	/ˈsɛpɝˌeɪt/, /ˈsɛpɝɪt/, /ˈsɛpɹət/
taste	/ˈteɪst/
capable	/ˈkeɪpəbəɫ/
pupil	/ˈpjupəɫ/
resident	/ˈɹɛzɪdənt/
household	/ˈhaʊsˌhoʊɫd/
foundation	/faʊnˈdeɪʃən/
abstract	/ˈæbˌstɹækt/, /æbˈstɹækt/
altogether	/ˌɔɫtəˈɡɛðɝ/
dozen	/ˈdəzən/
outline	/ˈaʊtˌɫaɪn/
appeal	/əˈpiɫ/
independent	/ˌɪndɪˈpɛndənt/
lift	/ˈɫɪft/
impression	/ˌɪmˈpɹɛʃən/
flexible	/ˈfɫɛksəbəɫ/
formal	/ˈfɔɹməɫ/
pedestrian	/pəˈdɛstɹiən/
neither	/ˈnaɪðɝ/, /ˈniðɝ/
extend	/ɪkˈstɛnd/
capture	/ˈkæptʃɝ/
edge	/ˈɛdʒ/
arise	/ɝˈaɪz/
hardly	/ˈhɑɹdɫi/
proposal	/pɹəˈpoʊzəɫ/
gradually	/ˈɡɹædʒuəɫi/, /ˈɡɹædʒuɫi/
livestock	/ˈɫaɪvˌstɑk/
predictable	/pɹiˈdɪktəbəɫ/, /pɹɪˈdɪktəbəɫ/
context	/ˈkɑntɛkst/
narrow	/ˈnæɹoʊ/, /ˈnɛɹoʊ/
frequency	/ˈfɹikwənsi/
combination	/ˌkɑmbəˈneɪʃən/
assume	/əˈsum/
contemporary	/kənˈtɛmpɝˌɛɹi/
practical	/ˈpɹæktəkəɫ/, /ˈpɹæktɪkəɫ/
phrase	/ˈfɹeɪz/
medium	/ˈmidiəm/
credit	/ˈkɹɛdət/, /ˈkɹɛdɪt/
track	/ˈtɹæk/
introduce	/ˌɪntɹəˈdus/, /ˌɪntɹoʊˈdus/
occupation	/ˌɑkjəˈpeɪʃən/
bronze	/ˈbɹɑnz/
bay	/ˈbeɪ/
lay	/ˈɫeɪ/
pain	/ˈpeɪn/
former	/ˈfɔɹmɝ/
circumstance	/ˈsɝkəmˌstæns/
observe	/əbˈzɝv/
determine	/dəˈtɝmən/, /dɪˈtɝmən/
desire	/dɪˈzaɪɝ/
afford	/əˈfɔɹd/
minimum	/ˈmɪnəməm/
barrier	/ˈbæɹiɝ/, /ˈbɛɹiɝ/
construct	/ˈkɑnstɹəkt/, /kənˈstɹəkt/
organic	/ɔɹˈɡænɪk/
institution	/ˌɪnstɪˈtuʃən/
destruction	/dɪˈstɹəkʃən/
frequent	/ˈfɹiˌkwɛnt/, /ˈfɹikwənt/
committee	/kəˈmɪti/
solution	/səˈɫuʃən/
explore	/ɪksˈpɫɔɹ/
mechanical	/məˈkænɪkəɫ/
brochure	/bɹoʊˈʃʊɹ/
forward	/ˈfɔɹwɝd/
correct	/kɝˈɛkt/
plain	/ˈpɫeɪn/
potential	/pəˈtɛnʃəɫ/
administration	/ædˌmɪnɪˈstɹeɪʃən/
machinery	/məˈʃinɝi/, /məˈʃinɹi/
voluntary	/ˈvɑɫəntɛɹi/
theme	/ˈθim/
setting	/ˈsɛtɪŋ/
minor	/ˈmaɪnɝ/
meanwhile	/ˈminˌwaɪɫ/
inner	/ˈɪnɝ/
agent	/ˈeɪdʒənt/
missing	/ˈmɪsɪŋ/
load	/ˈɫoʊd/
appreciate	/əˈpɹiʃiˌeɪt/
loud	/ˈɫaʊd/
vessel	/ˈvɛsəɫ/
authority	/əˈθɔɹəti/
burst	/ˈbɝst/
reasonable	/ˈɹizənəbəɫ/, /ˈɹiznəbəɫ/
behave	/bɪˈheɪv/
adopt	/əˈdɑpt/
reception	/ɹiˈsɛpʃən/, /ɹɪˈsɛpʃən/
stock	/ˈstɑk/
diverse	/daɪˈvɝs/, /dɪˈvɝs/
chief	/ˈtʃif/
specific	/spəˈsɪfɪk/, /spɪˈsɪfɪk/
spot	/ˈspɑt/
extraordinary	/ˌɛkstɹəˈɔɹdəˌnɛɹi/, /ɪkˈstɹɔɹdəˌnɛɹi/
semester	/səˈmɛstɝ/
artistic	/ɑɹˈtɪstɪk/
shore	/ˈʃɔɹ/
prize	/ˈpɹaɪz/
wonder	/ˈwəndɝ/
tiny	/ˈtaɪni/
ingredient	/ˌɪnˈɡɹidiənt/
destination	/ˌdɛstəˈneɪʃən/, /ˌdɛstɪˈneɪʃən/
guarantee	/ˌɡɛɹənˈti/
rural	/ˈɹʊɹəɫ/
refer	/ɹəˈfɝ/, /ɹɪˈfɝ/
visual	/ˈvɪʒəwəɫ/
delay	/dɪˈɫeɪ/
wheel	/ˈhwiɫ/, /ˈwiɫ/
outer	/ˈaʊtɝ/
composition	/ˌkɑmpəˈzɪʃən/
algorithm	/ˈæɫɡɝˌɪðəm/
innovative	/ˈɪnəˌveɪtɪv/, /ˈɪnoʊˌveɪtɪv/
deliver	/dɪˈɫɪvɝ/
broad	/ˈbɹɔd/
obtain	/əbˈteɪn/
calculate	/ˈkæɫkjəˌɫeɪt/
contract	/ˈkɑnˌtɹækt/, /kənˈtɹækt/
differ	/ˈdɪfɝ/
consistent	/kənˈsɪstənt/
temporary	/ˈtɛmpɝˌɛɹi/
harsh	/ˈhɑɹʃ/
review	/ˌɹivˈju/
column	/ˈkɑɫəm/
realistic	/ˌɹiəˈɫɪstɪk/
questionnaire	/ˌkwɛstʃəˈnɛɹ/
eruption	/ˌiˈɹəpʃən/, /ˌɪˈɹəpʃən/
specimen	/ˈspɛsəmən/
contrast	/ˈkɑntɹæst/, /kənˈtɹæst/
typical	/ˈtɪpəkəɫ/, /ˈtɪpɪkəɫ/
distant	/ˈdɪstənt/
export	/ˈɛkspɔɹt/
expand	/ɪkˈspænd/
shift	/ˈʃɪft/
invest	/ˌɪnˈvɛst/
proportion	/pɹəˈpɔɹʃən/
exception	/ɪkˈsɛpʃən/
perceive	/pɝˈsiv/
enthusiasm	/ɪnˈθuziˌæzəm/
apparent	/əˈpɛɹənt/
assistance	/əˈsɪstəns/
replace	/ˌɹiˈpɫeɪs/, /ɝˈpɫeɪs/
disabled	/dɪˈseɪbəɫd/
pack	/ˈpæk/
back and forth	
grammar	/ˈɡɹæmɝ/
trash	/ˈtɹæʃ/
atom	/ˈætəm/
automobile	/ˈɔtəmoʊˌbiɫ/, /ˌɔtəmoʊˈbiɫ/
classic	/ˈkɫæsɪk/
theft	/ˈθɛft/
warehouse	/ˈwɛɹˌhaʊs/
upper	/ˈəpɝ/
distinguish	/dɪˈstɪŋɡwɪʃ/
absorb	/əbˈzɔɹb/
flavour	
blame	/ˈbɫeɪm/
occasionally	/əˈkeɪʒənəɫi/, /əˈkeɪʒənɫi/, /əˈkeɪʒnəɫi/
inspire	/ˌɪnˈspaɪɹ/
emerge	/ˈimɝdʒ/, /ɪˈmɝdʒ/
priority	/pɹaɪˈɔɹəti/
breakthrough	/ˈbɹeɪkˌθɹu/
gap	/ˈɡæp/
instantly	/ˈɪnstəntɫi/
associate	/əˈsoʊsiˌeɪt/, /əˈsoʊsiət/, /əˈsoʊʃiˌeɪt/, /əˈsoʊʃiət/
density	/ˈdɛnsəti/, /ˈdɛnsɪti/
acquire	/əˈkwaɪɝ/
compete	/kəmˈpit/
fame	/ˈfeɪm/
deposit	/dəˈpɑzɪt/, /dɪˈpɑzət/
raise	/ˈɹeɪz/
unlike	/ənˈɫaɪk/
mixture	/ˈmɪkstʃɝ/
monitor	/ˈmɑnətɝ/
brilliant	/ˈbɹɪɫjənt/
freight	/ˈfɹeɪt/
move	/ˈmuv/
appearance	/əˈpɪɹəns/
impressive	/ˌɪmˈpɹɛsɪv/
massive	/ˈmæsɪv/
spiral	/ˈspaɪɹəɫ/
mostly	/ˈmoʊsɫi/, /ˈmoʊstɫi/
convince	/kənˈvɪns/
responsible	/ɹiˈspɑnsəbəɫ/
blind	/ˈbɫaɪnd/
intend	/ˌɪnˈtɛnd/
occasion	/əˈkeɪʒən/
participate	/pɑɹˈtɪsəˌpeɪt/
locate	/ˈɫoʊˌkeɪt/
obey	/oʊˈbeɪ/
supply	/səˈpɫaɪ/
import	/ˈɪmˌpɔɹt/, /ˌɪmˈpɔɹt/
engage	/ɛnˈɡeɪdʒ/
examine	/ɪɡˈzæmɪn/
specialise	
vehicle	/ˈvihɪkəɫ/, /ˈviɪkəɫ/
aside	/əˈsaɪd/
secure	/sɪkˈjʊɹ/
stream	/ˈstɹim/
abundant	/əˈbəndənt/
therefore	/ˈðɛɹˌfɔɹ/
fair	/ˈfɛɹ/
handle	/ˈhændəɫ/
migrate	/ˈmaɪˌɡɹeɪt/
extensive	/ɪkˈstɛnsɪv/
hospitality	/ˌhɑspəˈtæɫəti/
military	/ˈmɪɫəˌtɛɹi/, /ˈmɪɫɪˌtɛɹi/
partly	/ˈpɑɹtɫi/
pole	/ˈpoʊɫ/
scent	/ˈsɛnt/
tendency	/ˈtɛndənsi/
viewpoint	/ˈvjuˌpɔɪnt/
supervisor	/ˈsupɝˌvaɪzɝ/
thick	/ˈθɪk/
courage	/ˈkɝədʒ/, /ˈkɝɪdʒ/
divide	/dɪˈvaɪd/
vision	/ˈvɪʒən/
preserve	/pɹəˈzɝv/, /pɹiˈzɝv/, /pɹɪˈzɝv/
recognise	/ˈɹɛkəɡˌnaɪz/
motivate	/ˈmoʊtəˌveɪt/
alike	/əˈɫaɪk/
inform	/ˌɪnˈfɔɹm/
persuade	/pɝˈsweɪd/
profit	/ˈpɹɑfət/, /ˈpɹɑfɪt/
struggle	/ˈstɹəɡəɫ/
convey	/kənˈveɪ/
facility	/fəˈsɪɫɪti/
property	/ˈpɹɑpɝti/
spare	/ˈspɛɹ/
bet	/ˈbɛt/
platform	/ˈpɫætˌfɔɹm/
define	/dɪˈfaɪn/
combine	/ˈkɑmbaɪn/, /kəmˈbaɪn/
compromise	/ˈkɑmpɹəˌmaɪz/
prime	/ˈpɹaɪm/
popularity	/ˌpɑpjəˈɫɛɹəti/
isolation	/ˌaɪsəˈɫeɪʃən/
logic	/ˈɫɑdʒɪk/
mere	/ˈmɪɹ/
devastating	/ˈdɛvəˌsteɪtɪŋ/
agreement	/əˈɡɹimənt/
willing	/ˈwɪɫɪŋ/
reflect	/ɹɪˈfɫɛkt/
precise	/pɹiˈsaɪs/, /pɹɪˈsaɪs/
essence	/ˈɛsəns/
rob	/ˈɹɑb/
horizontal	/ˌhɔɹəˈzɑntəɫ/
fabric	/ˈfæbɹɪk/
famine	/ˈfæmən/
fluid	/ˈfɫuəd/, /ˈfɫuɪd/
reservoir	/ˈɹɛzəvˌwɑɹ/, /ˈɹɛzɝvˌwɑɹ/
threaten	/ˈθɹɛtən/
respond	/ɹiˈspɑnd/, /ɹɪˈspɑnd/
beat	/ˈbit/
hang	/ˈhæŋ/
latter	/ˈɫætɝ/
confirm	/kənˈfɝm/
departure	/dɪˈpɑɹtʃɝ/
suburb	/ˈsəbɝb/
rough	/ˈɹəf/
consume	/kənˈsum/
promote	/pɹəˈmoʊt/
encounter	/ɪnˈkaʊnɝ/, /ɪnˈkaʊntɝ/
interact	/ˌɪnɝˈækt/, /ˌɪntɝˈækt/
launch	/ˈɫɔntʃ/
incredible	/ˌɪnˈkɹɛdəbəɫ/
grasp	/ˈɡɹæsp/
storage	/ˈstɔɹədʒ/, /ˈstɔɹɪdʒ/
donate	/ˈdoʊˌneɪt/
foster	/ˈfɑstɝ/
attribute	/ˈætɹəbˌjut/, /əˈtɹɪbˌjut/
evident	/ˈɛvədənt/
incident	/ˈɪnsədənt/
inevitable	/ˌɪˈnɛvətəbəɫ/
presence	/ˈpɹɛzəns/
union	/ˈjunjən/
legal	/ˈɫiɡəɫ/
opposition	/ˌɑpəˈzɪʃən/
proper	/ˈpɹɑpɝ/
remote	/ɹiˈmoʊt/, /ɹɪˈmoʊt/
regarding	/ɹɪˈɡɑɹdɪŋ/
talent	/ˈtæɫənt/
earn	/ˈɝn/
clerk	/ˈkɫɝk/
bend	/ˈbɛnd/
dental	/ˈdɛnəɫ/, /ˈdɛntəɫ/
arithmetic	/ˌɛɹɪθˈmɛtɪk/, /ɝˈɪθməˌtɪk/
deforestation	/dɪˌfɔɹɪˈsteɪʃən/
parasite	/ˈpɛɹəˌsaɪt/
photographic	/ˌfoʊtəˈɡɹæfɪk/
secretary	/ˈsɛkɹəˌtɛɹi/
sledge	/ˈsɫɛdʒ/
spear	/ˈspɪɹ/
apprenticeship	/əˈpɹɛntəsˌʃɪp/
odd	/ˈɑd/
withstand	/wɪθˈstænd/
voyage	/ˈvɔɪədʒ/, /ˈvɔɪɪdʒ/
lie	/ˈɫaɪ/
relative	/ˈɹɛɫətɪv/
decorate	/ˈdɛkɝˌeɪt/
breath	/ˈbɹɛθ/
insist	/ˌɪnˈsɪst/
dull	/ˈdəɫ/
avenue	/ˈævəˌnu/
miserable	/ˈmɪzɝəbəɫ/, /ˈmɪzɹəbəɫ/
bother	/ˈbɑðɝ/
routine	/ɹuˈtin/
retail	/ˈɹiˌteɪɫ/
spectator	/ˈspɛkteɪtɝ/
educate	/ˈɛdʒəˌkeɪt/, /ˈɛdʒjuˌkeɪt/
acknowledge	/ækˈnɑɫɪdʒ/
vary	/ˈvɛɹi/
evaluate	/iˈvæɫjuˌeɪt/, /ɪˈvæɫjuˌeɪt/
collapse	/kəˈɫæps/
delicate	/ˈdɛɫəkət/
deserve	/dɪˈzɝv/
schedule	/ˈskɛdʒuɫ/, /ˈskɛdʒʊɫ/
manual	/ˈmænjuəɫ/
strict	/ˈstɹɪkt/
shame	/ˈʃeɪm/
remind	/ɹiˈmaɪnd/
cooker	/ˈkʊkɝ/
acre	/ˈeɪkɝ/
chaos	/ˈkeɪɑs/
enrol	
millennium	/məˈɫɛniəm/
organise	
originality	/ɝˌɪdʒəˈnæɫɪti/
reveal	/ɹiˈviɫ/, /ɹɪˈviɫ/
audio	/ˈɑdiˌoʊ/
lifetime	/ˈɫaɪfˌtaɪm/
unique	/juˈnik/
border	/ˈbɔɹdɝ/
conduct	/ˈkɑndəkt/, /kɑnˈdəkt/
react	/ɹiˈækt/
ceiling	/ˈsiɫɪŋ/
sharp	/ˈʃɑɹp/
prove	/ˈpɹuv/
cooperation	/ˌkwɑpɝˈeɪʃən/, /ˌkwɔpɝˈeɪʃən/, /koʊˌɑpɝˈeɪʃən/
connect	/kəˈnɛkt/
severe	/səˈvɪɹ/
crash	/ˈkɹæʃ/
signal	/ˈsɪɡnəɫ/
rapid	/ˈɹæpəd/, /ˈɹæpɪd/
permit	/ˈpɝˌmɪt/, /pɝˈmɪt/
restrict	/ɹiˈstɹɪkt/
settle	/ˈsɛtəɫ/
reward	/ɹiˈwɔɹd/, /ɹɪˈwɔɹd/
warn	/ˈwɔɹn/
suspect	/ˈsəsˌpɛkt/, /səˈspɛkt/
discourage	/dɪˈskɝɪdʒ/
inferior	/ˌɪnˈfɪɹiɝ/
classify	/ˈkɫæsəˌfaɪ/
accomplish	/əˈkɑmpɫɪʃ/
fade	/ˈfeɪd/
convert	/ˈkɑnvɝt/, /kənˈvɝt/
neutral	/ˈnutɹəɫ/
bold	/ˈboʊɫd/
elaborate	/ɪˈɫæbɝˌeɪt/, /ɪˈɫæbɹət/
somehow	/ˈsəmˌhaʊ/
negotiate	/nəˈɡoʊʃiˌeɪt/, /nɪˈɡoʊʃiˌeɪt/
worthwhile	/ˈwɝθˈwaɪɫ/
release	/ɹiˈɫis/
trial	/ˈtɹaɪəɫ/, /ˈtɹaɪɫ/
publication	/ˌpəbɫɪˈkeɪʃən/
fortune	/ˈfɔɹtʃən/, /ˈfɔɹtʃun/
pile	/ˈpaɪɫ/
nursery	/ˈnɝsɝi/
chart	/ˈtʃɑɹt/
patch	/ˈpætʃ/
loyal	/ˈɫɔɪəɫ/
portable	/ˈpɔɹtəbəɫ/
statue	/ˈstæˌtʃu/
farther	/ˈfɑɹðɝ/
acceptable	/ækˈsɛptəbəɫ/, /əkˈsɛptəbəɫ/
allergy	/ˈæɫɝdʒi/
caution	/ˈkɑʃən/, /ˈkɔʃən/
cosmetic	/kɑzˈmɛtɪk/
spacecraft	/ˈspeɪsˌkɹæft/
workforce	/ˈwɝkˌfɔɹs/
realm	/ˈɹɛɫm/
basement	/ˈbeɪsmənt/
slope	/ˈsɫoʊp/
absent	/ˈæbsənt/
suffer	/ˈsəfɝ/
cure	/ˈkjʊɹ/
intersection	/ˌɪntɝˈsɛkʃən/
fold	/ˈfoʊɫd/
victim	/ˈvɪktəm/, /ˈvɪktɪm/
defeat	/dɪˈfit/
duty	/ˈdjuti/, /ˈduti/
transfer	/ˈtɹænsfɝ/, /tɹænsˈfɝ/
optional	/ˈɑpʃənəɫ/, /ˈɔpʃənəɫ/
bow	/ˈbaʊ/, /ˈboʊ/
owe	/ˈoʊ/
declare	/dɪˈkɫɛɹ/
forecast	/ˈfɔɹˌkæst/
renew	/ɹɪˈnu/
rarely	/ˈɹɛɹɫi/
eliminate	/ɪˈɫɪməˌneɪt/
favourable	/ˈfeɪv(ə)ɹəbəl/
anticipate	/ænˈtɪsəˌpeɪt/
profession	/pɹəˈfɛʃən/
comfort	/ˈkəmfɝt/
commit	/kəˈmɪt/
derive	/dɝˈaɪv/
defend	/dɪˈfɛnd/
occupy	/ˈɑkjəˌpaɪ/
distribute	/dɪˈstɹɪbjut/
accompany	/əˈkəmpəni/
reputation	/ˌɹɛpjəˈteɪʃən/
relief	/ɹiˈɫif/, /ɹɪˈɫif/
urgent	/ˈɝdʒənt/
ripe	/ˈɹaɪp/
tale	/ˈteɪɫ/
visible	/ˈvɪzəbəɫ/
companion	/kəmˈpænjən/
stable	/ˈsteɪbəɫ/
hostile	/ˈhɑstəɫ/, /hɑˈstaɪɫ/
fortunate	/ˈfɔɹtʃənət/, /ˈfɔɹtʃunət/
prospect	/ˈpɹɑspɛkt/
remarkable	/ɹiˈmɑɹkəbəɫ/, /ɹɪˈmɑɹkəbəɫ/
assign	/əˈsaɪn/
vast	/ˈvæst/
casual	/ˈkæʒəwəɫ/, /ˈkæʒwəɫ/
search	/ˈsɝtʃ/
row	/ˈɹoʊ/
represent	/ˌɹɛpɹɪˈzɛnt/
split	/ˈspɫɪt/
affair	/əˈfɛɹ/
loose	/ˈɫus/
grateful	/ˈɡɹeɪtfəɫ/
strip	/ˈstɹɪp/
naked	/ˈneɪkəd/
pity	/ˈpɪti/
trap	/ˈtɹæp/
celebrate	/ˈsɛɫəˌbɹeɪt/
dig	/ˈdɪɡ/
beg	/ˈbɛɡ/
wander	/ˈwɑndɝ/
jar	/ˈdʒɑɹ/
caring	/ˈkɛɹɪŋ/
dissatisfied	/dɪˈsætəsˌfaɪd/
equator	/ɪˈkweɪtɝ/
layout	/ˈɫeɪˌaʊt/
mood	/ˈmud/
ongoing	/ˈɑnˌɡoʊɪŋ/, /ˈɔnˌɡoʊɪŋ/
pursue	/pɝˈsu/
rubbish	/ˈɹəbɪʃ/
string	/ˈstɹɪŋ/
thin	/ˈθɪn/
thread	/ˈθɹɛd/
aerobic	/ɛˈɹoʊbɪk/
genre	/ˈʒɑnɹə/
hedge	/ˈhɛdʒ/
brook	/ˈbɹʊk/
currency	/ˈkɝənsi/
hardship	/ˈhɑɹdʃɪp/
peel	/ˈpiɫ/
reply	/ɹiˈpɫaɪ/, /ɹɪˈpɫaɪ/
stove	/ˈstoʊv/
lean	/ˈɫin/
grind	/ˈɡɹaɪnd/
recover	/ɹɪˈkəvɝ/
universal	/ˌjunəˈvɝsəɫ/
tough	/ˈtəf/
stretch	/ˈstɹɛtʃ/
primitive	/ˈpɹɪmətɪv/, /ˈpɹɪmɪtɪv/
mediator	/ˈmidiˌeɪtɝ/
permanently	/ˈpɝmənəntɫi/
grab	/ˈɡɹæb/
