No,Category,Word,POS,Phonetic,Meaning,Synonym,Example_EN,Example_JA,Level
0091,,apply,動,/əˈpɫaɪ/,①申し込む ②当てはまる,,The student applied for the entrance exam a day before the deadline.,その学生は，締め切りの１日前に入学試験の受験を申し込んだ。,基本単語
0092,,increasingly,副,"/ɪnˈkɹisɪŋɡɫi/, /ɪnˈkɹisɪŋɫi/",ますます,,It is becoming increasingly difficult to save money.,貯金をすることが，ますます難しくなっている。,基本単語
0093,,landscape,名,"/ˈɫænˌskeɪp/, /ˈɫændˌskeɪp/",①風景 ②情勢,,I have painted the same landscape many times.,私は同じ風景を何度も絵に描いてきた。,基本単語
0094,,Arctic,形,"/ˈɑɹktɪk/, /ˈɑɹtɪk/",北極の,,The climate of the Arctic area has changed greatly over the past decade.,北極圏の気候は，過去10年間のうちに大きく変化した。,基本単語
0095,,conflict,名 / 動,"/ˈkɑnfɫɪkt/, /kənˈfɫɪkt/",①紛争 ②衝突 / （人・意見などが）衝突する,,The two countries entered a conflict which is not likely to be solved soon.,その２つの国は，すぐに解決されそうにない紛争に突入した。,基本単語
0096,,ancestor,名,/ˈænˌsɛstɝ/,祖先、先祖,,The common ancestors of all humans are believed to have come from Africa.,すべての人類の共通の祖先はアフリカに起源があると考えられている。,基本単語
0097,,predator,名,/ˈpɹɛdətɝ/,捕食者,,There are few species that are free from natural predators.,天敵のいない生物種はほとんど存在しない。,基本単語
0098,,fuel,名,"/ˈfjuəɫ/, /ˈfjuɫ/",燃料,,The rising cost of fuel is a serious problem that needs to be solved soon.,高騰し続ける燃料費は，すぐに解決する必要のある深刻な問題だ。,基本単語
0099,,ideal,形,/aɪˈdiɫ/,理想的な,,John and Mary are an ideal couple who always help each other.,ジョンとメアリーは，いつもお互いに助け合っている理想的な夫婦だ。,基本単語
0100,,argue,動,/ˈɑɹɡju/,①と主張する ②議論する,,He argued that none of them had enough skills to do the job.,彼は，彼らのうち誰もその仕事を遂行するのに十分なスキルを持っていないと主張した。,基本単語
0101,,origin,名,/ˈɔɹədʒən/,起源、生まれ,,Many of the difficult English words have their origin in French.,難しい英単語の多くは，フランス語に起源がある。,基本単語
0102,,quality,名,/ˈkwɑɫəti/,①質 ②特質,,It is difficult to create new products quickly while assuring their quality.,新製品を，品質を確保しながら迅速に製造することは難しい。,基本単語
0103,,entire,形,/ɪnˈtaɪɝ/,①全体の ②完全な,,The new system allows us to check the entire production process.,新しいシステムによって，私たちは製造工程全体をチェックすることができる。,基本単語
0104,,standard,名 / 形,/ˈstændɝd/,基準、標準 / 標準の、標準的な,,It was found that our factory did not meet safety standards.,当社の工場が安全基準を満たしていないことが判明した。,基本単語
0105,,reserve,動 / 名,"/ɹiˈzɝv/, /ɹɪˈzɝv/",を予約する / たくわえ,,"Since the restaurant is always crowded, you should reserve a table.",そのレストランはいつも混み合っているので，席を予約する必要がある。,基本単語
0106,,capital,名 / 形,"/ˈkæpətəɫ/, /ˈkæpɪtəɫ/",①首都 ②資本 ③大文字,,There are some countries like Japan whose capitals have changed over history.,日本のように，歴史を通じて首都が移転した国はいくつかある。,基本単語
0107,,draw,動,/ˈdɹɔ/,①を引く ②を引き寄せる、を導き出す,,It is hard to draw a conclusion based on the data.,そのデータに基づいて結論を導き出すことは難しい。,基本単語
0108,,perform,動,/pɝˈfɔɹm/,①を行う ②を演じる,,"The orchestra performed Brahms’ 1st Symphony, which moved the entire audience.",そのオーケストラはブラームスの交響曲第１番を演奏し，それが聴衆全員を感動させた。,基本単語
0109,,reduce,動,"/ɹəˈdus/, /ɹiˈdus/, /ɹɪˈdus/",を減らす、を縮小する,,We must reduce food waste to protect the environment.,環境を守るために，私たちは食品廃棄物の量を減らす必要がある。,基本単語
0110,,enable,動,"/ɛˈneɪbəɫ/, /ɪˈneɪbəɫ/",（人に）〜することを可能にする,,Sleeping for about seven hours a day enables you to maintain good health.,１日に７時間くらい眠れば，良好な健康状態を維持することができる。,基本単語
0111,,definition,名,/ˌdɛfəˈnɪʃən/,定義,,I looked up the definition of the word in an English-Japanese dictionary.,私は，その単語の定義を英和辞書で調べた。,基本単語
0112,,contribute,動,/kənˈtɹɪbjut/,（contribute to〜で）〜に貢献する、を寄付する,,Nobody expected that the player would contribute so much to his team’s victory.,その選手がチームの勝利にあれほど貢献するとは，誰も予想していなかった。,基本単語
0113,,device,名,/dɪˈvaɪs/,①機器、装置 ②手段、工夫,,You can bring a paper dictionary but are not allowed to use any electronic devices.,紙の辞書は持ち込めるが，いかなる電子機器の使用も認められていない。,基本単語
0114,,extent,名,/ɪkˈstɛnt/,①範囲、程度 ②広さ、大きさ,,The news reported the extent of the damage following the earthquake.,ニュースでは，その地震による被害の程度が報じられた。,基本単語
0115,,indeed,副,/ˌɪnˈdid/,本当は、実際に,,There are indeed many beautiful areas in Scotland.,スコットランドには，美しい場所が確かに数多くある。,基本単語
0116,,float,動,/ˈfɫoʊt/,浮かぶ、漂う,,There were some ducks floating on the lake.,その湖には，数羽のアヒルが漂っていた。,基本単語
0117,,polar,形,/ˈpoʊɫɝ/,南［北］極の、極（地）の,,"Every year, more and more polar ice melts because of global climate change.",地球の気候変動のせいで，毎年，ますます多くの極地の氷が溶けている。,基本単語
0118,,timber,名,/ˈtɪmbɝ/,木材,,The timber industry faces a crisis due to decreasing forests.,森林の減少で，林業が危機に瀕している。,基本単語
0119,,appropriate,形,"/əˈpɹoʊpɹiˌeɪt/, /əˈpɹoʊpɹiət/",適切な、ふさわしい,,I don’t think it’s appropriate to give money as a gift in that situation.,そのような場面では，贈り物として現金を渡すのは適切ではないと私は思う。,基本単語
0120,,degree,名,/dɪˈɡɹi/,程度、度合い,,The tests are divided by degree of difficulty.,その試験は難易度別に分けられている。,基本単語
0121,,arrange,動,/ɝˈeɪndʒ/,①を整える ②を取り決める、手配する,,"While I was arranging chairs in the room, I found that some of them were broken.",私が部屋に椅子を並べている間に，そのうちのいくつかが壊れていることに気づいた。,基本単語
0122,,feed,動,/ˈfid/,①に食物を与える ②餌を食べる,,Visitors to the zoo can feed some animals by hand.,その動物園への来園者は，一部の動物に手で餌をやることができる。,基本単語
0123,,similar,形,/ˈsɪməɫɝ/,類似の、同様の（be similar to〜で）〜に似ている,,Karen is similar to her sister in many ways.,カレンは，彼女の姉と多くの点で似ている。,基本単語
0124,,neighbouring,形,/ˈneɪbɝɪŋ/,隣接する、近隣の,,The country’s culture and language are shared by its neighbouring islands.,その国の文化と言語は，近隣の島々と共有されている。,基本単語
0125,,capacity,名,"/kəˈpæsəti/, /kəˈpæsɪti/",①収容力 ②（潜在的な）能力,,The theatre has been renovated to increase its capacity.,その劇場は収容人数を増やすために改装された。,基本単語
0126,,attend,動,/əˈtɛnd/,①に出席する ②の話をする ③注意して聞く,,Most people who attended the lecture were university students.,その講演に出席した人のほとんどは大学生だった。,基本単語
0127,,throughout,前,/θɹuˈaʊt/,…のあいだずっと,,"Not knowing what to say, she remained silent throughout the meeting.",彼女は何を話したらよいのかわからず，会議の間中ずっと黙っていた。,基本単語
0128,,overcome,動,/ˈoʊvɝˌkəm/,①に打ち勝つ ②を克服する,,One needs to overcome many difficulties in order to be successful.,成功するためには数多くの困難を乗り越える必要がある。,基本単語
0129,,extreme,形 / 名,/ɛkˈstɹim/,①極度の ②過激な ③（な状態）,,"Because of the extreme heat these days, I am not feeling so well.",最近の猛暑のせいで，私は体調があまりよくない。,基本単語
0130,,surface,名,/ˈsɝfəs/,表面,,"Since there are some puddles on the road’s surface, it must have rained.",道路の表面に水たまりがいくつかできているので，雨が降ったに違いない。,基本単語
0131,,tend,動,/ˈtɛnd/,(tend to doで)〜しがちである、〜する傾向がある,,I tend to drop by a convenience store on my way home every day.,私は毎日，帰宅の途中でコンビニに立ち寄ることが多い。,基本単語
0132,,latest,形,/ˈɫeɪtəst/,最近の、最新の,,Please send me the latest information as soon as possible.,最新情報をできるだけ早く私に送ってください。,基本単語
0133,,possibility,名,/ˌpɑsəˈbɪɫəˌti/,可能性、実現性,,There is a possibility that the package was lost in the mail.,その荷物は，郵送中に行方不明になった可能性がある。,基本単語
0134,,definitely,副,/ˈdɛfənətɫi/,確かに、絶対に,,I will definitely help you no matter how busy I am.,私は，どんなに忙しくても，必ずあなたを援助するつもりです。,基本単語
0135,,store,動,/ˈstɔɹ/,を蓄える,,You should store extra food and water in case of an emergency.,非常時に備えて，予備の食料と水を保管しておくべきだ。,基本単語
0136,,apart,副,/əˈpɑɹt/,離れて,,My parents have lived apart since last month due to their jobs.,私の両親は，仕事の都合で先月から離れて暮らしている。,基本単語
0137,,creative,形,/kɹiˈeɪtɪv/,①創造力のある ②独創的な,,The photographer is very creative and has won several awards.,その写真家はとても独創的で，数々の賞を受賞している。,基本単語
0138,,predict,動,"/pɹiˈdɪkt/, /pɹɪˈdɪkt/",を予測する,,It is predicted that Japan’s population will continue to decrease.,日本の人口は，これからも減少し続けると予想されている。,基本単語
0139,,hire,動 / 名,"/ˈhaɪɝ/, /ˈhaɪɹ/",①（時間決めで）を雇う ②を賃借りする,,The company hired more people to deal with the increasing orders.,その企業は，増え続ける注文に対応するために，さらに多くの人員を雇った。,基本単語
0140,,annual,形,/ˈænjuəɫ/,毎年の、年1回の,,I’m looking forward to the annual event held in the city centre.,私は，都心で開催される毎年恒例のそのイベントを楽しみにしている。,基本単語
0141,,flow,動 / 名,/ˈfɫoʊ/,流れる / 流れ,,A river can suddenly flow very fast after a heavy rain.,大雨の後には，突然，川の水がとても速く流れることがある。,基本単語
0142,,region,名,/ˈɹidʒən/,①地域 ②（体などの）部分 ③（学問などの）領域,,It snows heavily in the northern region of the country.,その国の北部地域では大雪が降る。,基本単語
0143,,attract,動,/əˈtɹækt/,を引きつける、を魅了する,,Many people were attracted by the magic show in the park.,その公園でのマジックショーに多くの人が引き寄せられた。,基本単語
0144,,manufacture,動 / 名,/ˌmænjəˈfæktʃɝ/,を製造する / 製造,,The number of cars manufactured in the country has been decreasing.,その国で製造される自動車の数は減ってきている。,基本単語
0145,,maximum,形 / 名,/ˈmæksəməm/,最大限の / 最大限、最高点,,"For maximum effect, please take the medicine after eating.",最大の効果を得るには，この薬は食後に服用してください。,基本単語
